News Organization,Tweet Text,Positive Sentiment,Negative Sentiment,Neutral Sentiment,Compound Sentiment,Time of Tweet
BBCWorld,Test-launch footage of Russian ballistic missile Satan 2 https://t.co/X7CXi0R8Ss,0.0,0.0,1.0,0.0,2018-03-30 12:14:19+00:00
BBCWorld,"China's 'Jack the Ripper', Gao Chengyong, sentenced to death https://t.co/e8NAzpiKr2",0.0,0.385,0.615,-0.6124,2018-03-30 12:21:15+00:00
BBCWorld,Kim Jong-un visit: What else crosses the China-North Korea border? https://t.co/lPmI1xe0LS,0.0,0.0,1.0,0.0,2018-03-30 12:54:35+00:00
BBCWorld,Syria war: Turkey's Erdogan rejects French mediation offer https://t.co/aPHKNjOvSs,0.0,0.504,0.496,-0.7964,2018-03-30 12:56:56+00:00
BBCWorld,Lindsay Lohan loses GTA V privacy case appeal https://t.co/es4JwTwbFC,0.0,0.247,0.753,-0.3182,2018-03-30 13:01:35+00:00
BBCWorld,Scammers impersonate French first lady Brigitte Macron https://t.co/SE4Wy6tWPB,0.0,0.0,1.0,0.0,2018-03-30 13:41:07+00:00
BBCWorld,Vatican: Pope did not say there is no hell https://t.co/k9htWRJoNF,0.0,0.459,0.541,-0.7783,2018-03-30 13:43:56+00:00
BBCWorld,Noor Salman: Pulse nightclub shooter's widow not guilty https://t.co/afpEyQwyDJ,0.226,0.0,0.774,0.3252,2018-03-30 14:35:32+00:00
BBCWorld,Kosovo security chiefs sacked after six Turks deported https://t.co/ECtnW0DivL,0.231,0.0,0.769,0.34,2018-03-30 16:46:04+00:00
BBCWorld,Parkland student David Hogg rejects Fox News host's apology https://t.co/bt9Eu2uCbB,0.097,0.258,0.645,-0.4588,2018-03-30 16:48:14+00:00
CBS,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP,0.127,0.0,0.873,0.4926,2018-03-30 16:50:00+00:00
CBS,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP,0.127,0.0,0.873,0.4926,2018-03-30 16:50:00+00:00
BBCWorld,Texas woman jailed for five years for 'accidental' voter fraud https://t.co/x0oGoCCEED,0.0,0.438,0.562,-0.7906,2018-03-30 17:05:13+00:00
BBCWorld,Ronaldo statue: Sculptor Emanuel Santos takes another shot at bust https://t.co/uJ7u1IS5uN,0.0,0.0,1.0,0.0,2018-03-30 17:19:55+00:00
BBCWorld,Schwarzenegger has heart surgery https://t.co/7q1nkfhBuK,0.0,0.0,1.0,0.0,2018-03-30 17:32:08+00:00
BBCWorld,Police shot unarmed US man '7 times in back' https://t.co/XhBhOwZfw6,0.0,0.0,1.0,0.0,2018-03-30 18:48:07+00:00
BBCWorld,Mauritania court gives toughest sentence for slave owners https://t.co/JgcmnJy1DV,0.135,0.135,0.729,0.0,2018-03-30 19:15:36+00:00
